	FRUITS																															FRUITS						VEGETABLES					IND	TTL	FRUITS																							GEN										GEN					INTFRSH					INTFRSH					INTFRSH					INTFRSH					INTFRSH
	ONION, RED MEDIUM			25	25							1.02	21.5						4													ONION, RED MEDIUM	25										76.83	76.83	ONION, RED MEDIUM		ca. - s		80	30	30			30	30			40	40			40	40			160		$21.50					21.5			**		21.5					$12.00					12					12					12					12			25	25	1.02
	ONION, WHITE MEDIUM	AIR		50	50							2.17	30						4													ONION, WHITE MEDIUM	50										11	11	ONION, WHITE MEDIUM	AIR	ca. - s							10				10				10				20		$30.00					30			**		30					$18.00					18					18					18					18			50	50	2.17
	ONION, YELLOW SUPER COLOSSAL 6" DIA 			50	50							2.17	22						4													ONION, YELLOW SUPER COLOSSAL 6" DIA 	50										20	20	ONION, YELLOW SUPER COLOSSAL 6" DIA 		ca. - s				20				20				20				20			40		$22.00					22			**		22					$15.00					15					15					15					15			50	50	2.17
	ONION, YELLOW JUMBO (U.S.)			50	50							2.17	21						4													ONION, YELLOW JUMBO (U.S.)	50										25	25	ONION, YELLOW JUMBO (U.S.)		ca. - s		48	48					21				48				49			97		$21.00					21			**		21					$12.00					12					12					12					12			50	50	2.17
	ONION, YELLOW MEDIUM (U.S.)			50	50							2.17	21						4													ONION, YELLOW MEDIUM (U.S.)	50										273	273	ONION, YELLOW MEDIUM (U.S.)		ca. - s		384																			$21.00					21			**		21					$12.00					12					12					12					12			50	50	2.17
	ONION, YELLOW SWEET LOOSE 40#			40	40							2.22	23.5						4													ONION, YELLOW SWEET LOOSE 40#	40												ONION, YELLOW SWEET LOOSE 40#		ca. - s																					$23.50					23.5			**		23.5					$24.00					24					24					24					24			40	40	2.22
	ONION, YELLOW SWEET MESH 18/2#			36	36							2.22	31						4													ONION, YELLOW SWEET MESH 18/2#	36												ONION, YELLOW SWEET MESH 18/2#		ca. - s																					$31.00					31			**		31					$30.50					30.5					30.5					30.5					30.5			36	36	2.22
	POTATO, FINGERLING GOLDEN			22	20							0.66	38.5						4													POTATO, FINGERLING GOLDEN	20												POTATO, FINGERLING GOLDEN		ca. - s																					$38.50					38.5			**		38.5																												22	20	0.66
	POTATO, MARBLE 			52	50							1.45	81.25																			POTATO, MARBLE 	50												POTATO, MARBLE 		ca. - s																					$81.25					81.25			**		81.25																												52	50	1.45
	POTATO, RED "A"			52	50							1.45	38						4													POTATO, RED "A"	50										5	5	POTATO, RED "A"		ca. - s																					$38.00					38			**		38					$29.00					29					29					29					29			52	50	1.45
	POTATO, RED 16/3# CELLO			48	48							1.44	39						4													POTATO, RED 16/3# CELLO	48												POTATO, RED 16/3# CELLO		ca. - s																					$39.00					39					39																												48	48	1.44
	POTATO, RED "B"			52	50							1.45	40						4													POTATO, RED "B"	50										24	24	POTATO, RED "B"		ca. - s																					$40.00					40			**		40					$30.00					30					30					30					30			52	50	1.45
	POTATO, RED "C" (WHOLE BABY) (CHATS)			52	50							1.45	55						4													POTATO, RED "C" (WHOLE BABY) (CHATS)	50												POTATO, RED "C" (WHOLE BABY) (CHATS)		ca. - s																					$55.00					55			**		55																												52	50	1.45
	POTATO, RUSSET 50 CT			52	50							1.45	29.5						4													POTATO, RUSSET 50 CT	50												POTATO, RUSSET 50 CT		Wash																					$29.50					29.5			**		29.5					$15.00					15					15					15					15			52	50	1.45
	POTATO, RUSSET 60 CT			52	50							1.45	26						4													POTATO, RUSSET 60 CT	50										38	38	POTATO, RUSSET 60 CT		Wash																					$26.00					26			**		26					$15.00					15					15					15					15			52	50	1.45
	POTATO, RUSSET 70 CT			52	50							1.45	25						4													POTATO, RUSSET 70 CT	50										17	17	POTATO, RUSSET 70 CT		Wash																					$25.00					25			**		25					$15.00					15					15					15					15			52	50	1.45
	POTATO, RUSSET 80 CT			52	50							1.45	25						4													POTATO, RUSSET 80 CT	50										18	18	POTATO, RUSSET 80 CT		Wash																					$25.00					25			**		25					$15.00					15					15					15					15			52	50	1.45
	POTATO, RUSSET 90 CT			52	50							1.45	25						4													POTATO, RUSSET 90 CT	50										117.5	117.5	POTATO, RUSSET 90 CT		Wash																					$25.00					25			**		25					$15.00					15					15					15					15			52	50	1.45
	POTATO, RUSSET 110 CT			52	50							1.45	24						4													POTATO, RUSSET 110 CT	50										26	26	POTATO, RUSSET 110 CT		Wash																					$24.00					24					24																												52	50	1.45
	POTATO, RUSSET 5/10#			52	50							1.44	24						4													POTATO, RUSSET 5/10#	50												POTATO, RUSSET 5/10#		Wash																					$24.00					24			**		24					$13.00					13					13					13					13			52	50	1.44
	POTATO, RUSSET 10/5#			52	50							1.44	24						4													POTATO, RUSSET 10/5#	50										44	44	POTATO, RUSSET 10/5#		Wash																					$24.00					24			**		24					$14.00					14					14					14					14			52	50	1.44
	POTATO, SWEET WHITE (MEDIUM)			42	40							1.45	54.5						4													POTATO, SWEET WHITE (MEDIUM)	40												POTATO, SWEET WHITE (MEDIUM)		ca. - s																					$54.50					54.5			**		54.5					$27.50					27.5					27.5					27.5					27.5			42	40	1.45
	POTATO, YELLOW / YUKON A			52	50							1.45	42						4													POTATO, YELLOW / YUKON A	50										4	4	POTATO, YELLOW / YUKON A		ca. - s																					$42.00					42			**		42					$33.50					33.5					33.5					33.5					33.5			52	50	1.45
	POTATO, YELLOW / YUKON 16/3# CELLO			48	48							1.44	40						4													POTATO, YELLOW / YUKON 16/3# CELLO	48												POTATO, YELLOW / YUKON 16/3# CELLO		ca. - s																					$40.00					40					40																												48	48	1.44
	OG POTATO, CELLO 10/5#			50	50							1.44	39						6													OG POTATO, CELLO 10/5#	50												OG POTATO, CELLO 10/5#		North																					$39.00					39			**		39																												50	50	1.44
	OG POTATO GOLD CELLO          10/5# BALE			50	50							1.44	63						6													OG POTATO GOLD CELLO          10/5# BALE	50												OG POTATO GOLD CELLO          10/5# BALE		North																					$63.00					63			**		63																												50	50	1.44
